Chrom (mm10),Start (mm10),End (mm10),Assembly (original),Chrom (original),Start (original),End (original),VISTA identifier,Limb-activity,Considered in ML
chr1,58952904,58956413,mm9,chr1,59009748,59013257,mm88,negative,yes
chr1,59340862,59342046,mm9,chr1,59397706,59398890,mm489,negative,yes
chr1,67365819,67367727,hg19,chr2,211664571,211666475,hs1541,negative,yes
chr1,68045929,68048127,hg19,chr2,212254840,212257158,hs1578,negative,yes
chr1,68779329,68782031,mm9,chr1,68825903,68828605,mm1358,negative,yes
chr1,68864846,68866697,hg19,chr2,213141079,213142308,hs1207,negative,yes
chr1,74030234,74032407,hg19,chr2,218801171,218803563,hs1764,negative,yes
chr1,75288287,75291172,mm9,chr1,75284862,75287747,mm1372,negative,yes
chr1,75347166,75347630,hg19,chr2,220271494,220272006,hs504,negative,yes
chr1,75405255,75409484,mm9,chr1,75401830,75406059,mm1355,negative,yes
chr1,75769003,75773592,hg19,chr2,220713868,220717300,hs1507,positive,yes
chr1,75832718,75835169,hg19,chr2,220771085,220773279,hs1635,positive,yes
chr1,78114828,78115847,hg19,chr2,223079383,223080439,hs493,negative,yes
chr1,78184099,78185294,hg19,chr2,223150742,223151920,hs1730,negative,yes
chr1,78966374,78968073,hg19,chr2,169971561,169974373,hs2034,negative,yes
chr1,81520227,81522255,hg19,chr2,226758670,226760695,hs1376,negative,yes
chr1,84548810,84551347,mm9,chr1,84545385,84547922,mm666,negative,yes
chr1,86487834,86492772,hg19,chr2,232527256,232532109,hs1886,negative,yes
chr1,89713750,89714911,hg19,chr2,236773458,236774696,hs521,positive,yes
chr1,89847708,89849945,hg19,chr2,236962599,236964857,hs921,positive,yes
chr1,89925517,89926000,hg19,chr2,237071364,237071848,hs249,negative,yes
chr1,90006776,90007806,hg19,chr2,237165066,237166143,hs1243,negative,yes
chr1,90246249,90247693,mm9,chr1,92142824,92144268,mm275,negative,yes
chr1,90288936,90290388,mm9,chr1,92185511,92186963,mm315,negative,yes
chr1,90753352,90755909,hg19,chr2,238221820,238225273,hs1951,negative,yes
chr1,90976559,90981159,hg19,chr2,238522379,238526567,hs1945,negative,yes
chr1,91208179,91212307,hg19,chr2,238803368,238807597,hs1968,negative,yes
chr1,91962928,91965960,mm9,chr1,93859505,93862537,mm901,negative,yes
chr1,92718794,92721273,hg19,chr2,241197357,241200155,hs1750,negative,yes
chr1,92785989,92787910,hg19,chr2,241307979,241312994,hs1937,positive,yes
chr1,97538497,97542741,mm9,chr1,99435074,99439318,mm1317,negative,yes
chr1,98187843,98193254,hg19,chr5,101999073,102003903,hs1649,positive,yes
chr1,109514248,109514854,hg19,chr18,63078262,63078839,hs947,negative,yes
chr1,118776527,118778050,hg19,chr2,121832418,121833317,hs522,negative,yes
chr1,118988412,118994613,hg19,chr2,121562286,121565707,hs1790,negative,yes
chr1,127530776,127531768,hg19,chr2,135279657,135281488,hs1728,negative,yes
chr1,127754802,127759066,mm9,chr1,129651379,129655643,mm1363,negative,yes
chr1,129954812,129956885,hg19,chr2,138212509,138214475,hs1729,negative,yes
chr1,133079894,133080923,hg19,chr1,204423958,204424935,hs1368,negative,yes
chr1,133549313,133550886,mm9,chr1,135445890,135447463,mm112,negative,yes
chr1,133744227,133745595,hg19,chr1,203660971,203662806,hs2404,negative,yes
chr1,138405489,138407331,hg19,chr1,198339402,198341607,hs1443,negative,yes
chr1,138499160,138501332,hg19,chr1,198263562,198265742,hs1322,negative,yes
chr1,148482151,148483266,hg19,chr1,188376723,188378052,hs1780,negative,yes
chr1,154033856,154034857,mm9,chr1,155880986,155881987,mm153,negative,yes
chr1,155038429,155040658,hg19,chr1,181121049,181123654,hs1862,negative,yes
chr1,158265467,158268046,mm9,chr1,160195598,160198177,mm1369,negative,yes
chr1,162074031,162077560,mm9,chr1,164004162,164007691,mm712,positive,yes
chr1,162830457,162833967,mm9,chr1,164760588,164764098,mm713,positive,yes
chr1,163897222,163899818,hg19,chr1,169910396,169913079,hs1442,positive,yes
chr1,165934235,165936308,hg19,chr1,167296954,167299046,hs1331,negative,yes
chr1,168168620,168170074,hg19,chr1,164805507,164806794,hs1191,negative,yes
chr1,168268573,168269857,hg19,chr1,164700259,164701522,hs1136,negative,yes
chr1,168294792,168296738,hg19,chr1,164672787,164674206,hs970,negative,yes
chr1,168299765,168300981,hg19,chr1,164668592,164669823,hs1144,negative,yes
chr1,168327072,168328498,hg19,chr1,164637575,164639037,hs203,negative,yes
chr1,168341598,168342834,hg19,chr1,164620038,164621164,hs1235,negative,yes
chr1,168357094,168358536,hg19,chr1,164604141,164605474,hs1202,negative,yes
chr1,168760969,168763111,hg19,chr1,164197827,164199172,hs1230,negative,yes
chr1,168908406,168909388,hg19,chr1,164023244,164024214,hs202,negative,yes
chr1,168991095,168992057,hg19,chr1,163939700,163940637,hs201,negative,yes
chr1,169343700,169345192,hg19,chr1,163507965,163509139,hs1185,positive,yes
chr1,169385395,169386298,hg19,chr1,163441941,163442842,hs762,negative,yes
chr1,169476673,169478008,hg19,chr1,163359231,163360494,hs1156,negative,yes
chr1,177150037,177151455,hg19,chr1,243876467,243877893,hs545,negative,yes
chr1,177171230,177171899,hg19,chr1,243895796,243896468,hs214,negative,yes
chr1,177447324,177448425,hg19,chr1,244217325,244218426,hs476,negative,yes
chr1,179385809,179386339,hg19,chr1,246469251,246471350,hs2070,negative,yes
chr1,180208458,180212549,hg19,chr1,227106400,227109773,hs2132,negative,yes
chr1,180268494,180269405,hg19,chr1,227014699,227016924,hs2131,negative,yes
chr1,181255937,181259663,mm9,chr1,183186068,183189794,mm24,negative,yes
chr1,182109962,182112053,hg19,chr1,225954390,225955885,hs2374,negative,yes
chr1,184041273,184042782,hg19,chr1,221906778,221908480,hs1663,negative,yes
chr1,186908317,186910078,hg19,chr1,218222277,218224086,hs1255,negative,yes
chr1,186922311,186923506,hg19,chr1,218207432,218208498,hs1257,negative,yes
chr1,187248278,187249479,hg19,chr1,217766122,217767351,hs734,negative,yes
chr1,188118947,188119938,hg19,chr1,216772416,216773458,hs175,negative,yes
chr1,188883844,188885252,hg19,chr1,215888921,215890374,hs366,negative,yes
chr1,190061319,190062349,hg19,chr1,214280595,214282080,hs2357,negative,yes
chr1,190653741,190655122,hg19,chr1,213597964,213599524,hs204,negative,yes
chr1,190727304,190730174,hg19,chr1,213498112,213501134,hs1324,negative,yes
chr1,191239014,191241717,hg19,chr1,212704746,212707293,hs2089,negative,yes
chr1,192784315,192784989,mm9,chr1,194610509,194611183,mm617,negative,yes
chr1,192789593,192791084,mm9,chr1,194615787,194617278,mm430,negative,yes
chr1,192798093,192800700,mm9,chr1,194624287,194626894,mm646,positive,yes
chr1,192806324,192807093,mm9,chr1,194632518,194633287,mm618,negative,yes
chr1,192822580,192825953,hg19,chr1,210433698,210437258,hs1617,negative,yes
chr1,192851640,192852457,mm9,chr1,194677834,194678651,mm433,negative,yes
chr1,193141049,193141723,hg19,chr1,209989050,209989824,hs932,positive,yes
chr1,193449329,193450185,mm9,chr1,195275523,195276379,mm935,negative,yes
chr1,193989015,193991785,hg19,chr1,209064233,209067059,hs1694,negative,yes
chr2,4297327,4301456,mm9,chr2,4218373,4222502,mm418,negative,yes
chr2,4339658,4341457,mm9,chr2,4260704,4262503,mm28,positive,yes
chr2,4348338,4349353,mm9,chr2,4269384,4270399,mm419,negative,yes
chr2,4361908,4362689,mm9,chr2,4282954,4283735,mm420,negative,yes
chr2,4556144,4557875,mm9,chr2,4477190,4478921,mm422,positive,yes
chr2,4587585,4588762,mm9,chr2,4508631,4509808,mm423,positive,yes
chr2,4882644,4883763,mm9,chr2,4803690,4804809,mm424,negative,yes
chr2,6260694,6262916,hg19,chr10,11721307,11722768,hs1382,negative,yes
chr2,7639724,7642480,hg19,chr10,10335147,10338188,hs2237,negative,yes
chr2,12065185,12068019,mm9,chr2,11986812,11989646,mm30,negative,yes
chr2,18046233,18047055,mm9,chr2,17967860,17968682,mm270,negative,yes
chr2,18973198,18973733,hg19,chr10,22981895,22983289,hs2048,negative,yes
chr2,19455026,19455689,hg19,chr10,23490838,23491508,hs826,negative,yes
chr2,30654264,30656448,mm9,chr2,30509784,30511968,mm320,negative,yes
chr2,31004939,31008077,mm9,chr2,30860459,30863597,mm1325,negative,yes
chr2,31499311,31500827,hg19,chr9,133353647,133355097,hs1328,negative,yes
chr2,31640644,31641311,hg19,chr9,133540555,133541228,hs876,negative,yes
chr2,32053417,32057197,hg19,chr9,134110296,134115184,hs1963,negative,yes
chr2,32127730,32128586,mm9,chr2,31983250,31984106,mm194,negative,yes
chr2,32908279,32909524,mm9,chr2,32763799,32765044,mm238,negative,yes
chr2,33788144,33790460,hg19,chr9,129198400,129200739,hs186,negative,yes
chr2,33841539,33845598,mm9,chr2,33697059,33701118,mm1354,negative,yes
chr2,33875330,33878839,mm9,chr2,33730850,33734359,mm716,positive,yes
chr2,34016021,34017342,hg19,chr9,128945054,128946417,hs1108,negative,yes
chr2,34033023,34033764,hg19,chr9,128919674,128920432,hs1015,negative,yes
chr2,34064833,34066528,hg19,chr9,128869446,128870934,hs987,negative,yes
chr2,34166779,34167773,hg19,chr9,128735158,128736174,hs1103,negative,yes
chr2,34229437,34230578,hg19,chr9,128671865,128673002,hs317,negative,yes
chr2,34235169,34236290,hg19,chr9,128666411,128667552,hs1000,negative,yes
chr2,34255334,34257139,hg19,chr9,128645462,128647097,hs1017,negative,yes
chr2,34260196,34261370,hg19,chr9,128640165,128641327,hs1095,negative,yes
chr2,34286509,34288341,hg19,chr9,128606519,128608350,hs1099,negative,yes
chr2,34310582,34311104,hg19,chr9,128583956,128584480,hs316,negative,yes
chr2,34356456,34359026,hg19,chr9,128522875,128525442,hs1102,negative,yes
chr2,34359232,34360875,hg19,chr9,128520992,128522653,hs818,negative,yes
chr2,34363449,34364811,hg19,chr9,128516934,128518372,hs1030,negative,yes
chr2,34455218,34456803,hg19,chr9,128406147,128407653,hs185,negative,yes
chr2,34462108,34463283,hg19,chr9,128395759,128396938,hs788,negative,yes
chr2,38142558,38144874,hg19,chr9,126537718,126539929,hs314,negative,yes
chr2,38195269,38199898,hg19,chr9,126595592,126598852,hs1794,negative,yes
chr2,38535055,38537083,mm9,chr2,38390575,38392603,mm160,negative,yes
chr2,38594702,38595720,hg19,chr9,127123220,127124245,hs600,negative,yes
chr2,43781987,43783031,hg19,chr2,143914409,143915473,hs402,negative,yes
chr2,43977739,43979507,hg19,chr2,144103882,144105644,hs675,negative,yes
chr2,43986279,43987229,hg19,chr2,144111861,144112818,hs403,negative,yes
chr2,43989287,43991110,hg19,chr2,144115008,144116735,hs663,negative,yes
chr2,44572995,44574695,hg19,chr2,144712189,144713913,hs404,negative,yes
chr2,45023631,45025444,hg19,chr2,145188099,145189812,hs407,negative,yes
chr2,45036258,45037036,hg19,chr2,145200646,145201413,hs409,negative,yes
chr2,45053671,45058470,mm9,chr2,44909191,44913990,mm1380,negative,yes
chr2,45102219,45104360,hg19,chr2,145267267,145269283,hs2256,negative,yes
chr2,45171144,45172955,hg19,chr2,145339602,145341530,hs1802,negative,yes
chr2,45836162,45837257,hg19,chr2,146002552,146003648,hs617,negative,yes
chr2,45921900,45923049,hg19,chr2,146057507,146058645,hs777,negative,yes
chr2,46326766,46328057,hg19,chr2,146412340,146413619,hs544,negative,yes
chr2,46666275,46667373,hg19,chr2,146689050,146690099,hs649,negative,yes
chr2,46669500,46670495,hg19,chr2,146692288,146693283,hs568,negative,yes
chr2,46674604,46675472,hg19,chr2,146697738,146698645,hs760,negative,yes
chr2,46801607,46803612,hg19,chr2,146797628,146799643,hs534,negative,yes
chr2,47133822,47134610,hg19,chr2,147133970,147134751,hs410,negative,yes
chr2,47183582,47185337,hg19,chr2,147172004,147173802,hs609,positive,yes
chr2,47263332,47264195,hg19,chr2,147260541,147261416,hs719,negative,yes
chr2,47302030,47303333,hg19,chr2,147289398,147290668,hs773,negative,yes
chr2,47334272,47335444,hg19,chr2,147333773,147334965,hs805,negative,yes
chr2,50969347,50972438,hg19,chr2,151182874,151185472,hs1386,negative,yes
chr2,56253983,56255716,hg19,chr2,156399791,156401487,hs803,negative,yes
chr2,56257296,56258347,hg19,chr2,156403022,156404115,hs580,negative,yes
chr2,56455286,56457265,hg19,chr2,156584380,156586345,hs551,negative,yes
chr2,56518707,56520248,hg19,chr2,156658670,156660246,hs549,negative,yes
chr2,56576465,56577480,hg19,chr2,156726581,156727605,hs411,negative,yes
chr2,56591692,56592843,hg19,chr2,156762038,156763191,hs691,negative,yes
chr2,56916091,56916889,hg19,chr2,156991360,156992132,hs412,negative,yes
chr2,57341949,57344456,mm9,chr2,57194360,57196867,mm667,positive,yes
chr2,57517307,57518247,hg19,chr2,157551014,157551952,hs413,negative,yes
chr2,57616984,57617851,hg19,chr2,157659848,157660720,hs414,negative,yes
chr2,57671881,57672832,hg19,chr2,157720628,157721586,hs662,negative,yes
chr2,57793277,57794576,hg19,chr2,157861101,157862409,hs573,negative,yes
chr2,57820408,57821348,hg19,chr2,157899792,157900721,hs415,positive,yes
chr2,57878888,57879847,hg19,chr2,158005545,158006521,hs794,negative,yes
chr2,59562345,59563132,hg19,chr2,159779317,159780341,hs1477,positive,yes
chr2,59597936,59601449,mm9,chr2,59435993,59439506,mm717,positive,yes
chr2,59668906,59672125,hg19,chr2,159885988,159889012,hs2027,negative,yes
chr2,59828773,59829361,mm9,chr2,59666830,59667418,mm282,negative,yes
chr2,61656142,61656716,hg19,chr2,162094895,162095451,hs416,negative,yes
chr2,63669378,63670651,hg19,chr2,164180913,164182192,hs689,negative,yes
chr2,63877720,63879192,hg19,chr2,164349676,164351112,hs890,negative,yes
chr2,63962796,63964416,hg19,chr2,164450144,164451758,hs170,negative,yes
chr2,64079255,64080739,hg19,chr2,164574007,164575458,hs640,negative,yes
chr2,64172017,64172993,hg19,chr2,164657051,164658028,hs606,negative,yes
chr2,64177546,64178374,hg19,chr2,164661606,164662430,hs420,negative,yes
chr2,64366222,64367228,hg19,chr2,164843797,164844783,hs421,negative,yes
chr2,65992128,65994633,mm9,chr2,65830185,65832690,mm668,negative,yes
chr2,69998509,69999848,hg19,chr2,170869607,170871165,hs1867,negative,yes
chr2,71418479,71422071,mm9,chr2,71256536,71260128,mm55,negative,yes
chr2,71516484,71518219,hg19,chr2,172936519,172938249,hs553,negative,yes
chr2,71527336,71528847,hg19,chr2,172947779,172949246,hs1423,negative,yes
chr2,71535378,71536557,hg19,chr2,172955879,172957052,hs422,negative,yes
chr2,71537156,71538581,hg19,chr2,172957645,172959046,hs423,negative,yes
chr2,72426155,72427698,hg19,chr2,174114371,174115933,hs242,negative,yes
chr2,73139371,73141413,hg19,chr2,174985544,174987464,hs243,positive,yes
chr2,73142671,73144272,hg19,chr2,174988737,174990363,hs244,negative,yes
chr2,73179758,73180791,hg19,chr2,175041403,175042500,hs574,negative,yes
chr2,73268418,73269496,hg19,chr2,175196043,175197114,hs860,negative,yes
chr2,73275594,73277184,hg19,chr2,175203263,175204895,hs953,negative,yes
chr2,73279567,73280473,hg19,chr2,175207310,175208242,hs245,negative,yes
chr2,74489927,74491300,hg19,chr2,176754029,176755385,hs616,negative,yes
chr2,74650860,74652235,hg19,chr2,176940070,176941410,hs246,negative,yes
chr2,75138220,75138763,hg19,chr2,177503157,177503671,hs248,negative,yes
chr2,79461477,79462272,hg19,chr2,182551041,182551809,hs626,negative,yes
chr2,82498030,82499136,hg19,chr2,186035364,186036499,hs1245,negative,yes
chr2,84517965,84520803,mm9,chr2,84358122,84360960,mm1324,negative,yes
chr2,93670758,93674396,hg19,chr11,44289927,44293764,hs2090,negative,yes
chr2,101589988,101594341,mm9,chr2,101430145,101434498,mm1328,positive,yes
chr2,102319035,102319919,hg19,chr11,35808002,35810908,hs2080,negative,yes
chr2,103623986,103627532,mm9,chr2,103464143,103467689,mm1312,negative,yes
chr2,103893011,103895665,hg19,chr11,33964286,33967857,hs1858,negative,yes
chr2,104893781,104894712,hg19,chr11,32808120,32809049,hs577,negative,yes
chr2,105333716,105335146,hg19,chr11,32197490,32198734,hs113,negative,yes
chr2,105447293,105448403,hg19,chr11,32052398,32053496,hs866,negative,yes
chr2,105515856,105516712,hg19,chr11,31989173,31990022,hs855,negative,yes
chr2,105611042,105614025,hg19,chr11,31895594,31899062,hs1531,negative,yes
chr2,105689600,105691450,hg19,chr11,31816452,31818421,hs1082,negative,yes
chr2,105718758,105720537,hg19,chr11,31785423,31787226,hs198,negative,yes
chr2,105778531,105780040,hg19,chr11,31685357,31686884,hs234,negative,yes
chr2,105833388,105834698,hg19,chr11,31622822,31624118,hs565,negative,yes
chr2,105913337,105914487,hg19,chr11,31502035,31503157,hs863,negative,yes
chr2,113691543,113692645,hg19,chr15,33091527,33092659,hs910,negative,yes
chr2,114123388,114123882,mm9,chr2,113949124,113949618,mm182,negative,yes
chr2,114411449,114413021,hg19,chr15,35545322,35546846,hs776,negative,yes
chr2,114739395,114740295,hg19,chr15,35918719,35919621,hs354,negative,yes
chr2,115537684,115539308,hg19,chr15,36819021,36820695,hs355,negative,yes
chr2,115656958,115658248,hg19,chr15,36964819,36966098,hs828,negative,yes
chr2,115658281,115659712,hg19,chr15,36966132,36967531,hs812,negative,yes
chr2,115669514,115669885,hg19,chr15,36983818,36984196,hs1871,negative,yes
chr2,115867988,115870503,mm9,chr2,115693724,115696239,mm669,negative,yes
chr2,115871243,115872482,hg19,chr15,37191408,37192621,hs489,negative,yes
chr2,115896429,115899400,hg19,chr15,37216993,37219601,hs1129,negative,yes
chr2,115919997,115921651,hg19,chr15,37240805,37242498,hs181,negative,yes
chr2,115962485,115963540,mm9,chr2,115788221,115789276,mm255,negative,yes
chr2,116018048,116020475,hg19,chr15,37347604,37349955,hs1178,negative,yes
chr2,116044886,116046285,hg19,chr15,37371729,37373137,hs1097,negative,yes
chr2,116200855,116202747,hg19,chr15,37512674,37514557,hs572,negative,yes
chr2,116212625,116213751,hg19,chr15,37521824,37522951,hs356,negative,yes
chr2,116323402,116325066,hg19,chr15,37652783,37654460,hs599,negative,yes
chr2,116807729,116809252,hg19,chr15,38159507,38161007,hs830,negative,yes
chr2,117427080,117430606,mm9,chr2,117252816,117256342,mm1368,negative,yes
chr2,118532227,118534856,hg19,chr15,40383560,40386138,hs1611,negative,yes
chr2,121549995,121551630,hg19,chr15,44171247,44173891,hs1881,negative,yes
chr2,124612597,124615764,hg19,chr15,48012796,48016252,hs1687,negative,yes
chr2,125491395,125493910,mm9,chr2,125317131,125319646,mm670,negative,yes
chr2,130351805,130352389,hg19,chr20,2719208,2719789,hs632,negative,yes
chr2,130489314,130493856,mm9,chr2,130315050,130319592,mm1313,negative,yes
chr2,132426454,132429102,mm9,chr2,132252190,132254838,mm1391,negative,yes
chr2,137247708,137248975,hg19,chr20,10793183,10794439,hs1278,positive,yes
chr2,137852330,137854841,mm9,chr2,137678066,137680577,mm671,positive,yes
chr2,144176906,144178287,hg19,chr20,17839843,17841338,hs2393,negative,yes
chr2,145888311,145888756,mm9,chr2,145714047,145714492,mm300,negative,yes
chr2,146324701,146325932,hg19,chr20,20472953,20474200,hs688,negative,yes
chr2,146957766,146960813,hg19,chr20,21214790,21217232,hs914,negative,yes
chr2,147180290,147181581,hg19,chr20,21488551,21490021,hs1205,negative,yes
chr2,152399091,152399726,mm9,chr2,152224827,152225462,mm271,negative,yes
chr2,152734877,152735572,hg19,chr20,30191716,30192554,hs480,negative,yes
chr2,152788186,152790967,hg19,chr20,30261538,30264882,hs2050,negative,yes
chr2,152817372,152818197,mm9,chr2,152643108,152643933,mm161,negative,yes
chr2,153481176,153484947,hg19,chr20,31112334,31117114,hs2225,negative,yes
chr2,153560290,153561940,mm9,chr2,153386026,153387676,mm346,negative,yes
chr2,155050090,155052094,mm9,chr2,154875826,154877830,mm59,negative,yes
chr2,155862263,155864147,hg19,chr20,33905955,33908491,hs1630,negative,yes
chr2,156813201,156816143,mm9,chr2,156638937,156641879,mm1377,negative,yes
chr2,158439041,158440388,hg19,chr20,37148390,37149749,hs659,negative,yes
chr2,159032228,159032977,hg19,chr20,37876814,37877600,hs1042,negative,yes
chr2,159712428,159713415,hg19,chr20,38580899,38582010,hs1237,negative,yes
chr2,159985999,159987636,hg19,chr20,38862746,38864025,hs992,negative,yes
chr2,160244493,160245157,mm9,chr2,160070229,160070893,mm645,negative,yes
chr2,160299417,160301134,hg19,chr20,39235779,39237626,hs1781,negative,yes
chr2,160382008,160382874,hg19,chr20,39334182,39335059,hs1086,negative,yes
chr2,160395708,160396677,hg19,chr20,39347264,39348213,hs1234,negative,yes
chr2,160415716,160417232,hg19,chr20,39367240,39368612,hs1590,negative,yes
chr2,160421995,160425459,hg19,chr20,39372456,39375024,hs1591,negative,yes
chr2,160451305,160452587,mm9,chr2,160277041,160278323,mm915,negative,yes
chr2,160492291,160494448,hg19,chr20,39461549,39463625,hs1592,negative,yes
chr2,160503620,160504635,hg19,chr20,39472648,39473702,hs1101,negative,yes
chr2,160513670,160514864,hg19,chr20,39483347,39484593,hs996,negative,yes
chr2,160515694,160517266,mm9,chr2,160341430,160343002,mm923,negative,yes
chr2,160578530,160580585,hg19,chr20,39574314,39576895,hs1593,negative,yes
chr2,163685776,163687192,hg19,chr20,43201171,43202669,hs2373,negative,yes
chr2,165914101,165914771,hg19,chr20,46012576,46013656,hs2380,negative,yes
chr2,166019657,166023462,mm9,chr2,165845157,165848962,mm1346,negative,yes
chr2,166352865,166354821,mm9,chr2,166178365,166180321,mm343,negative,yes
chr2,166440620,166443127,mm9,chr2,166266120,166268627,mm673,positive,yes
chr2,167324556,167326986,hg19,chr20,48291612,48294178,hs2045,negative,yes
chr2,167569881,167571243,mm9,chr2,167395381,167396743,mm368,negative,yes
chr2,167842374,167845654,mm9,chr2,167667874,167671154,mm22,negative,yes
chr2,168049064,168050870,hg19,chr20,49306307,49309162,hs1860,negative,yes
chr2,168693119,168695892,mm9,chr2,168518619,168521392,mm1375,negative,yes
chr2,169599744,169601398,hg19,chr20,51552465,51554077,hs911,negative,yes
chr2,169768393,169769549,hg19,chr20,51736594,51737737,hs610,negative,yes
chr2,170836029,170839441,mm9,chr2,170661529,170664941,mm1402,negative,yes
chr2,171633185,171636816,hg19,chr20,54128635,54130976,hs1492,negative,yes
chr2,171730381,171736633,hg19,chr20,54241646,54244672,hs1448,positive,yes
chr2,172430534,172431364,mm9,chr2,172256034,172256864,mm286,negative,yes
chr2,172861962,172864167,mm9,chr2,172687463,172689668,mm75,negative,yes
chr2,172865097,172865880,hg19,chr20,55734523,55737597,hs1934,negative,yes
chr2,173034798,173036840,mm9,chr2,172860299,172862341,mm92,negative,yes
chr2,173051929,173056057,hg19,chr20,56014710,56019293,hs1971,negative,yes
chr2,174856549,174860580,mm9,chr2,174682050,174686081,mm38,negative,yes
chr3,4376459,4378146,hg19,chr8,76960017,76961714,hs891,negative,yes
chr3,4594085,4596058,hg19,chr8,77141110,77143124,hs1424,negative,yes
chr3,5223534,5226222,hg19,chr8,77598007,77600645,hs1318,negative,yes
chr3,5329674,5330756,hg19,chr8,77690683,77691779,hs774,positive,yes
chr3,5387050,5389713,hg19,chr8,77751553,77754343,hs1681,positive,yes
chr3,5754492,5756119,hg19,chr8,78042571,78044201,hs742,negative,yes
chr3,6181861,6184107,hg19,chr8,78370218,78372418,hs1422,positive,yes
chr3,6886387,6887953,hg19,chr8,79006151,79007727,hs801,negative,yes
chr3,8865055,8867293,hg19,chr8,80874361,80876746,hs1305,negative,yes
chr3,16876170,16878776,hg19,chr8,64564272,64565973,hs1239,negative,yes
chr3,18057876,18058899,hg19,chr8,65496564,65497586,hs223,negative,yes
chr3,18341077,18342204,hg19,chr8,65783977,65785137,hs772,negative,yes
